"CWE-ID","Project","Commit"
"CWE-310","tomcat","30af3f5630542a2340781f66553e734a6fd69701"
"CWE-502","camel","881e5099f94316d4a66ffbff0a3e6915829d49d"
"CWE-287","spring-security","2cb99f079152ac05cee5c90457c7feb3bb2de55"
"CWE-264","xalan-j","cbfd906cc5a1f1566fa1a98400c82e56077fae0c"
"CWE-22","hadoop","45a1c680c276c4501402f7bc4cebcf85a6fbc7f"
"CWE-79","antisamy","7313931dc3c0d1377b010f07faef2063dd359a36"
"CWE-264","tomcat","934f884f330dad192d2c5dc950e28f4cd281461b"
"CWE-399","tomcat","b1c8477e3e3ee635d19cc4d5987c2b157431e0c1"
"CWE-502","ignite","340569b8f4e14a4cb61a9407ed2d9aa4a20bdf49"
"CWE-287","spring-security","88559882e967085c47a7e1dcbc4dc32c2c796868"
"CWE-918_CWE-611","camel","9f7376abbff7434794f2c7c2909e02bac232fb5"
"CWE-319","wildfly","883115ea2168343e870745f538a80b1ddc360914"
"CWE-319","wildfly","883115ea2168343e870745f538a80b1ddc360914"
"CWE-79","wicket-jquery-ui","8aebe1e49a71f10cdd6a073fd09d0d8d82352a0"
"CWE-640","uaa","a79b89f6e4f66626914b029b7a15a423491f8013"
"CWE-20","activemq","338a74dfa42a7b19d39adecacfa5f626a050e807"
"CWE-200","tomcat","05c84ff8304a69a30b251f207a7b93c2c882564d"
"CWE-200","email-ext-plugin","af2cc9bf649781c3c84c6891298db0d8601b193d"
"CWE-863","geode","aa469239860778eb46e09dd7b390aee08f152480"
"CWE-200","xstream","c9b121a88664988ccbabd83fa27bfc2a5e0bd139"
"CWE-611","spring-integration","59c69ed40d3755ef59f80872e0ea711adbb13620"
"CWE-200","hadoop","6b710a42e00acca405e085724c89cda016cf7442"
"CWE-835","tika","62926cae31a02d4f23d21148435804b96c543cc"
"CWE-347","bc-java","843c2e60f67d71faf81d236f448ebbe56c62c647"
"CWE-200","tomcat80","ec10b8c785d1db91fe58946436f854dde04410fd"
"CWE-264_CWE-200","jboss-seam","090aa6252affc978a96c388e3fc2c1c2688d9bb5"
"CWE-20","vert.x","1bb6445226c39a95e7d07ce3caaf56828e8aab72"
"CWE-20","vert.x","1bb6445226c39a95e7d07ce3caaf56828e8aab72"
"CWE-611","sling","fb2719e8299fadddae62245482de112052a0e08c"
"CWE-264","openjpa","521fecd2d9b91c27e9f90d97e5f5479d17239eb8"
"CWE-89","ranger","8618870d1b4acfae4114dd247a362cfa8493ab9"
"CWE-264","uaa","460627ed419e4227b10ff121248b3ffc009011a9"
"CWE-611","xmlbeam","f8e943f44961c14cf1316deb56280f7878702ee1"
"CWE-611","spring-integration","59c69ed40d3755ef59f80872e0ea711adbb13620"
"CWE-94","spring-framework","e0de9126ed8cf25cf141d3e66420da94e350708"
"CWE-352","projectforge-webapp","422de35e3c3141e418a73bfb39b430d5fd74077e"
"CWE-310","bc-java","e25e94a046a6934819133886439984e2fecb2b04"
"CWE-264","hibernate-validator","e8c42b689df8c6752d635d02c6518da3fece3870"
"CWE-89","spring-data-jpa","b8e7fecccc7dc8edcabb4704656a7abe6352c08f"
"CWE-200","bc-java","9bc10bbaa9620d691c58e2b37f31f0d31ceea61f"
"CWE-264","hibernate-validator","67fdff14831c035c25e098fe14bd86523d17f726"
"CWE-264","jenkins","36342d71e29e0620f803a7470ce96c61761648d8"
"CWE-287","jenkins","8ac74c350779921598f9d5edfed39dd35de8842a"
"CWE-264","commons-fileupload","c61ff05b3241cb14d989b67209e57aa71540417a"
"CWE-863","uaa","bbbba5aec514ad88e7d1e168a2519c80229f02f"
"CWE-22","spring-framework","13356a7ee2240f740737c5c83bdccdacc30603a"
