Project;Fix Commit;Compilable;Version;Command;;;Summary;;;;Etichette di riga;Conteggio di Si/No;Conteggio % di Si/No
https://github.com/spring-projects/spring-framework;e2d6e709c3c65a4951eb096843ee75d5200cfcad;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/cloudfoundry/uaa;64;14,22%
https://github.com/spring-projects/spring-framework;2bd1daa75ee0b8ec33608ca6ab065ef3e1815543;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;64;100,00%
https://github.com/spring-projects/spring-framework;a7dc48534ea501525f11369d369178a60c2f47d0;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/codehaus-plexus/plexus-archiver;1;0,22%
https://github.com/spring-projects/spring-framework;1db7e02de3eb0c011ee6681f5a12eb9d166fea8;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;1;100,00%
https://github.com/spring-projects/spring-framework;9cef8e3001ddd61c734281a7556efd84b6cc2755;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/codehaus-plexus/plexus-utils;1;0,22%
https://github.com/spring-projects/spring-framework;03f547eb9868f48f44d59b56067d4ac4740672c3;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;1;100,00%
https://github.com/spring-projects/spring-framework;0e28bee0f155b9bf240b4bafc4646e4810cb23f;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/eclipse/rdf4j;1;0,22%
https://github.com/spring-projects/spring-framework;874859493bbda59739c38c7e52eb3625f247b93;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;1;100,00%
https://github.com/spring-projects/spring-framework;75e08695a04980dbceae6789364717e9d8764d58;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/eclipse-ee4j/mojarra;1;0,22%
https://github.com/spring-projects/spring-framework;13356a7ee2240f740737c5c83bdccdacc30603a;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;1;100,00%
https://github.com/spring-projects/spring-framework;43bf008fbcd0d7945e2fcd5e30039bc4d74c7a98;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/eclipse-vertx/vert.x;1;0,22%
https://github.com/spring-projects/spring-framework;7576274874deeccb6da6b09a8d5bd62e8b5538b7;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;Si;1;100,00%
https://github.com/spring-projects/spring-framework;d3acf45ea4db51fa5c4cbd0bc0e7b6d9ef805e6;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;https://github.com/ESAPI/esapi-java-legacy;2;0,44%
https://github.com/spring-projects/spring-framework;3f68cd633f03370d33c2603a6496e81273782601;No;JDK 17 & gradle 5.4.1;./gradlew classes;;;;;;;No;2;100,00%
