"CWE-ID","Method-ID","Fix Commit","Parent Commit","Badness","Tool-ID","Size","Start","End"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testWithFilterConfig","d83a76732e6804739b81d8b2056365307637b42d","","true","TOOL ID","11","1375","1386"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDoFilterSimplePOST","d83a76732e6804739b81d8b2056365307637b42d","","true","TOOL ID","23","76","99"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testWithStringParserNull","d83a76732e6804739b81d8b2056365307637b42d","","true","TOOL ID","11","1413","1424"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDoFilterSimpleWithExposedHeaders","d83a76732e6804739b81d8b2056365307637b42d","","true","TOOL ID","28","219","247"
"CWE-20","core/src/main/java/org/apache/struts2/interceptor/FileUploadInterceptor.java$intercept","6b8272ce47160036ed120a48345d9aa884477228","f487d7e7d69c767949a59f36ceb5a45d96eb32dd","false","TOOL ID","85","237","322"
"CWE-264","java/org/apache/catalina/security/SecurityClassLoad.java$securityClassLoad","ce70ee6b8fe437a498a375215011056702b0c481","804fec853b560598d83b50686575bfedcf43d04a","false","TOOL ID","17","35","52"
"CWE-20","core/src/main/java/com/opensymphony/xwork2/validator/validators/URLValidator.java$getUrlRegex","931df54ab379bf4eb5a625bf05066b8563c3737b","","true","TOOL ID","2","103","105"
"CWE-20","core/src/main/java/com/opensymphony/xwork2/validator/validators/URLValidator.java$setUrlRegex","931df54ab379bf4eb5a625bf05066b8563c3737b","","true","TOOL ID","2","107","109"
"CWE-20","core/src/main/java/com/opensymphony/xwork2/validator/validators/URLValidator.java$validate","931df54ab379bf4eb5a625bf05066b8563c3737b","","true","TOOL ID","15","67","82"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDoFilterSimpleHEAD","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","23","110","133"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDoFilterSimpleAnyOriginAndSupportsCredentials","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","29","175","204"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testInitDefaultFilterConfig","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","41","700","741"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDecorateRequestDisabled","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","24","1543","1567"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDoFilterSimpleGET","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","23","45","68"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testWithFilterConfig","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","11","1406","1417"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDoFilterSimplePOST","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","24","77","101"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testWithStringParserNull","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","11","1444","1455"
"CWE-1188","test/org/apache/catalina/filters/TestCorsFilter.java$testDoFilterSimpleWithExposedHeaders","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","29","248","277"
"CWE-264","java/org/apache/jasper/compiler/TagPluginManager.java$init","5517c5517e8a7ddb994504f0c5c05001a376b10c","","true","TOOL ID","74","64","138"
"CWE-264","java/org/apache/catalina/servlets/DefaultServlet.java$findXsltInputStream","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433","03d1f33ee8f7e6b2fb7aa86edd7a43f3a240aa42","false","TOOL ID","48","1499","1547"
"CWE-20","plugins/portlet/src/main/java/org/apache/struts2/portlet/result/PortletActionRedirectResult.java$execute","b3bad5ea44f3fd9edb2cb491192c5900f46d45d","","true","TOOL ID","37","173","210"
"CWE-601","java/org/apache/catalina/servlets/DefaultServlet.java$doDirectoryRedirect","efb860b3ff8ebcf606199b8d0d432f76898040da","","true","TOOL ID","13","1308","1321"
"CWE-295","java/org/apache/tomcat/websocket/WsWebSocketContainer.java$connectToServerRecursive","2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a","","true","TOOL ID","325","198","523"
"CWE-295","java/org/apache/tomcat/websocket/WsWebSocketContainer.java$createSSLEngine","2835bb4e030c1c741ed0847bb3b9c3822e4fbc8a","","true","TOOL ID","61","870","931"
"CWE-362","java/org/apache/tomcat/util/net/Nio2Endpoint.java$isClosed","ed4b9d791f9470e4c3de691dd0153a9ce431701b","332877b4a6bc1d6fff287bc380111db28cea3030","false","TOOL ID","3","843","846"
"CWE-264","java/org/apache/jasper/compiler/TagPluginManager.java$init","ebe5c16f18ce1559e8462a94b3876a98525980d2","","true","TOOL ID","71","64","135"
"CWE-1188","java/org/apache/catalina/filters/CorsFilter.java$handleSimpleCORS","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","73","229","302"
"CWE-1188","java/org/apache/catalina/filters/CorsFilter.java$parseAndStore","d83a76732e6804739b81d8b2056365307637b42d","6513dbd4a1751fdabfba97c97a60f7086ebb3082","false","TOOL ID","48","732","780"
"CWE-264","java/org/apache/catalina/servlets/DefaultServlet.java$renderXml","769477b9bc8442db3f571385fa0c3e206242cbf1","","true","TOOL ID","117","1239","1356"
"CWE-20","core/src/main/java/org/apache/struts2/result/ServletActionRedirectResult.java$execute","b3bad5ea44f3fd9edb2cb491192c5900f46d45d","","true","TOOL ID","19","160","179"
"CWE-20","src/test/java/org/primeframework/jwt/VulnerabilityTest.java$test_encodedJwtWithSignatureRemoved","abb0d479389a2509f939452a6767dc424bb5e6ba","","true","TOOL ID","9","56","65"
"CWE-20","src/test/java/org/primeframework/jwt/VulnerabilityTest.java$test_noVerification","abb0d479389a2509f939452a6767dc424bb5e6ba","","true","TOOL ID","7","67","74"
"CWE-399","src/java/org/jivesoftware/openfire/spi/ConnectionManagerImpl.java$createClientListeners","c9cd1e521673ef0cccb8795b78d3cbaefb8a576a","","true","TOOL ID","19","311","330"
"CWE-399","src/java/org/jivesoftware/openfire/spi/ConnectionManagerImpl.java$createClientSSLListeners","c9cd1e521673ef0cccb8795b78d3cbaefb8a576a","","true","TOOL ID","67","376","443"
"CWE-362","java/org/apache/tomcat/util/net/NioEndpoint.java$isClosed","ed4b9d791f9470e4c3de691dd0153a9ce431701b","332877b4a6bc1d6fff287bc380111db28cea3030","false","TOOL ID","3","1139","1142"
"CWE-362","java/org/apache/tomcat/util/net/NioEndpoint.java$run","ed4b9d791f9470e4c3de691dd0153a9ce431701b","332877b4a6bc1d6fff287bc380111db28cea3030","false","TOOL ID","36","485","521"
"CWE-362","java/org/apache/tomcat/util/net/NioEndpoint.java$cancelledKey","ed4b9d791f9470e4c3de691dd0153a9ce431701b","332877b4a6bc1d6fff287bc380111db28cea3030","false","TOOL ID","53","638","691"
"CWE-264","java/org/apache/jasper/compiler/TagPluginManager.java$init","ebe5c16f18ce1559e8462a94b3876a98525980d2","ad3b34a290a0255d2a4c356a3611ab41ed9d04f5","false","TOOL ID","74","64","138"
"CWE-755","java/org/apache/catalina/servlets/DefaultServlet.java$serveResource","4545dcce444aa619374a659cb450dbbd0be3c921","d71140268e3a7b66d8dd89f12673a1da329df628","false","TOOL ID","352","711","1063"
"CWE-20","core/src/test/java/com/opensymphony/xwork2/validator/URLValidatorTest.java$testValidUrlWithDefaultRegex","a05259ed69a5a48379aa91650e4cd1cb4bd6e5a","","true","TOOL ID","46","138","184"
"CWE-20","plugins/rest/src/main/java/org/apache/struts2/rest/RestActionMapper.java$parseNameAndNamespace","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","32","337","369"
"CWE-20","core/src/main/java/org/apache/struts2/views/freemarker/FreemarkerManager.java$createConfiguration","637ad1c3707266c33daabb18d7754e795e6681f","","true","TOOL ID","25","316","341"
"CWE-189","java/org/apache/tomcat/util/buf/Ascii.java$parseLong","fffd63a3bd3a5475379b7c074820a5463b7663b3","313ba522851a32e798d94c7250e1ec80a1d30a22","false","TOOL ID","27","78","105"
"NVD-CWE-noinfo","core/src/main/java/com/opensymphony/xwork2/ognl/OgnlUtil.java$createDefaultContext","0d6442bab5b44d93c4c2e63c5335f0a331333b9","","true","TOOL ID","13","683","696"
"NVD-CWE-noinfo","core/src/main/java/com/opensymphony/xwork2/ognl/SecurityMemberAccess.java$isAccessible","0d6442bab5b44d93c4c2e63c5335f0a331333b9","4c386c663cf094a6d40d90c56c5983e14d518c26","false","TOOL ID","52","54","106"
"NVD-CWE-noinfo","core/src/main/java/com/opensymphony/xwork2/ognl/SecurityMemberAccess.java$setExcludedPackageNames","0d6442bab5b44d93c4c2e63c5335f0a331333b9","4c386c663cf094a6d40d90c56c5983e14d518c26","false","TOOL ID","2","212","214"
"CWE-189","test/org/apache/coyote/http11/filters/TestChunkedInputFilter.java$testNoTrailingHeaders","f646a5acd5e32d6f5a2d9bf1d94ca66b65477675","","true","TOOL ID","36","276","312"
"CWE-189","test/org/apache/coyote/http11/filters/TestChunkedInputFilter.java$testTrailingHeadersSizeLimit","f646a5acd5e32d6f5a2d9bf1d94ca66b65477675","","true","TOOL ID","41","163","204"
"CWE-189","test/org/apache/coyote/http11/filters/TestChunkedInputFilter.java$doTestExtensionSizeLimit","f646a5acd5e32d6f5a2d9bf1d94ca66b65477675","","true","TOOL ID","49","225","274"
"CWE-189","test/org/apache/coyote/http11/filters/TestChunkedInputFilter.java$doPost","f646a5acd5e32d6f5a2d9bf1d94ca66b65477675","","true","TOOL ID","31","444","475"
"CWE-189","test/org/apache/coyote/http11/filters/TestChunkedInputFilter.java$doTestChunkingCRLF","f646a5acd5e32d6f5a2d9bf1d94ca66b65477675","","true","TOOL ID","65","96","161"
"CWE-20","core/src/main/java/org/apache/struts2/result/PostbackResult.java$makePostbackUri","b3bad5ea44f3fd9edb2cb491192c5900f46d45d","","true","TOOL ID","32","130","162"
"CWE-20","core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java$testDropExtension","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","8","630","638"
"CWE-20","core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java$testDropExtensionEmbeddedDot","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","9","651","660"
"CWE-20","core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java$testGetMappingWithActionName_noDynamicMethodColonPrefix","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","15","236","251"
"CWE-20","core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java$testSetExtension","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","23","814","837"
"CWE-20","core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java$testGetMappingWithActionName_name","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","5","221","226"
"CWE-20","core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java$testGetMappingWithActionName_noDynamicMethod","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","6","228","234"
"CWE-20","core/src/test/java/org/apache/struts2/dispatcher/mapper/DefaultActionMapperTest.java$testDropExtensionWhenBlank","6e87474f9ad0549f07dd2c37d50a9ccd0977c6e","","true","TOOL ID","9","640","649"
"CWE-264","java/org/apache/catalina/servlets/DefaultServlet.java$findXsltInputStream","970c23bfd24dfa1dcb86ed917e6c8b47dcfb4433","","true","TOOL ID","42","1501","1543"
"CWE-20","core/src/main/java/org/apache/struts2/result/StrutsResultSupport.java$execute","b3bad5ea44f3fd9edb2cb491192c5900f46d45d","1fec084542c3bfe9c6733a947b3798210f73f8e8","false","TOOL ID","3","202","205"
"CWE-20","core/src/main/java/org/apache/struts2/result/ServletActionRedirectResult.java$execute","6efaf900d4ffb7be8a74065af5553bad2389f72","b3bad5ea44f3fd9edb2cb491192c5900f46d45d3","false","TOOL ID","19","160","179"
"CWE-20","src/main/java/org/primeframework/jwt/JWTDecoder.java$decode","abb0d479389a2509f939452a6767dc424bb5e6ba","","true","TOOL ID","40","153","193"
