"CWE-ID","Project-Name","Method-ID","Fix Commit","Parent Commit","Badness","Tool-ID","Size","Start","End"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getIdFromFile","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","7","399","406"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$match","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","11","463","474"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$delete","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","14","104","118"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$initializeStore","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","7","301","308"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getFile","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","20","484","504"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$load","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","48","217","265"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getIdWithContextFromFile","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","7","436","443"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$doStore","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","24","272","296"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$doGetExpired","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","86","124","210"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$exists","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","13","326","339"
"CWE-384","jetty.project","jetty-server/src/main/java/org/eclipse/jetty/server/session/FileSessionDataStore.java$getIdWithContext","a0b8321ef452dddff9bc6c14e3ac0108239bfa2c","356bf2e06f1a0f3b79a1fe30af0fb92a9ed8f74f","true","TOOL ID","3","378","381"
"CWE-20","cxf-fediz","services/idp/src/main/java/org/apache/cxf/fediz/service/idp/metadata/ServiceMetadataWriter.java$getMetaData","f65c961ea31e3c1851daba8e7e49fc37bbf77b19","","false","TOOL ID","55","53","108"
"CWE-310","bc-java","core/src/main/java/org/bouncycastle/math/ec/custom/sec/SecP256K1Curve.java$SecP256K1Curve","5cb2f0578e6ec8f0d67e59d05d8c4704d8e05f83","","false","TOOL ID","11","20","31"
"CWE-611","lucene-solr","solr/core/src/java/org/apache/solr/schema/AbstractEnumField.java$EnumMapping","e5407c5a9710247e5f728aae36224a245a51f0b","","false","TOOL ID","75","91","166"
"CWE-310","bc-java","prov/src/main/java/org/bouncycastle/jcajce/provider/asymmetric/dh/BCDHPublicKey.java$BCDHPublicKey","413b42f4d770456508585c830cfcde95f9b0e93b","","false","TOOL ID","55","71","126"
"CWE-863","geode","geode-core/src/main/java/org/apache/geode/management/internal/cli/functions/AlterRuntimeConfigFunction.java$getRequiredPermissions","aa469239860778eb46e09dd7b390aee08f152480","82f41a489fb5a127fc760c209f1f05190a76da9e","true","TOOL ID","3","92","95"
"CWE-22","tomcat","java/org/apache/catalina/connector/CoyoteAdapter.java$postParseRequest","1735d7f55094c3775c7d94e4f8568336dbe1a738","","false","TOOL ID","158","262","420"
"CWE-22","tomcat","java/org/apache/catalina/connector/CoyoteAdapter.java$normalize","1735d7f55094c3775c7d94e4f8568336dbe1a738","","false","TOOL ID","98","591","689"
"CWE-74","java-cas-client","cas-client-core/src/main/java/org/jasig/cas/client/validation/AbstractUrlBasedTicketValidator.java$constructValidationUrl","ab6cbdc3daa451b4fef89c0bd0f4e6568f3aa9ef","","false","TOOL ID","46","108","154"
"CWE-20","tomcat","java/org/apache/coyote/http11/Http11Protocol.java$createProcessor","d6a9898125f34e593de426e8c7dabb0f224fc00f","d0f94a5bb7eb4cb74c7c7c936c67d557baef4055","true","TOOL ID","23","185","208"
"CWE-287","spring-security","cas/src/main/java/org/springframework/security/cas/web/authentication/DefaultServiceAuthenticationDetails.java$createArtifactPattern","2cb99f079152ac05cee5c90457c7feb3bb2de55","d85a0a20bcc643f9797f02388f4084cf811f2774","true","TOOL ID","3","127","130"
"CWE-287","spring-security","cas/src/main/java/org/springframework/security/cas/web/authentication/DefaultServiceAuthenticationDetails.java$DefaultServiceAuthenticationDetails","2cb99f079152ac05cee5c90457c7feb3bb2de55","d85a0a20bcc643f9797f02388f4084cf811f2774","true","TOOL ID","6","53","59"
"CWE-20","core-1","impl/src/main/java/org/richfaces/webapp/PushHandlerFilter.java$doFilter","8131f15003f5bec73d475d2b724472e4b87d0757","","false","TOOL ID","43","74","117"
"CWE-552","spring-framework","spring-web/src/main/java/org/springframework/web/util/WebUtils.java$extractFullFilenameFromUrlPath","2bd1daa75ee0b8ec33608ca6ab065ef3e1815543","","false","TOOL ID","12","732","744"
"CWE-863","spring-security","config/src/main/java/org/springframework/security/config/web/server/ServerHttpSecurity.java$build","fed15f2b01b763158f6650afa13059203366974","","false","TOOL ID","57","489","546"
"CWE-19","camel","components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpProducer.java$createRequestEntity","7e28d0af471ea992eb74807a4abd1626b88d678a","f7f0b18f6924fe0b01f32a25ed1e38e29b1bf8e5","true","TOOL ID","90","420","510"
"CWE-19","camel","components/camel-http4/src/main/java/org/apache/camel/component/http4/HttpProducer.java$extractResponseBody","7e28d0af471ea992eb74807a4abd1626b88d678a","f7f0b18f6924fe0b01f32a25ed1e38e29b1bf8e5","true","TOOL ID","35","307","342"
"CWE-287","hive","ql/src/java/org/apache/hadoop/hive/ql/Driver.java$doAuthorization","98f933f269e6b528ef84912b3d701ca3272ec04b","d82409d0d804fa441b7956623ed92719886d2fcd","true","TOOL ID","151","597","748"
"CWE-287","hive","ql/src/java/org/apache/hadoop/hive/ql/Driver.java$getHivePrivObjects","98f933f269e6b528ef84912b3d701ca3272ec04b","d82409d0d804fa441b7956623ed92719886d2fcd","true","TOOL ID","62","821","883"
"CWE-863","tomcat","java/org/apache/catalina/core/NamingContextListener.java$removeResourceLink","d6b5600afe75e1086dd564344e1d085966e4237d","","false","TOOL ID","9","1282","1291"
"CWE-863","tomcat","java/org/apache/catalina/core/NamingContextListener.java$lifecycleEvent","d6b5600afe75e1086dd564344e1d085966e4237d","","false","TOOL ID","126","211","337"
"CWE-863","tomcat","java/org/apache/catalina/core/NamingContextListener.java$addResourceLink","d6b5600afe75e1086dd564344e1d085966e4237d","","false","TOOL ID","28","1136","1164"
