CWE;Project Name;Frequency;Owner
CWE-16;struts;1;apache
CWE-20;prime-jwt;2;inversoft
CWE-310;esapi-java-legacy;2;ESAPI
CWE-611;pippo;1;pippo-java
CWE-287;karaf;2;apache
CWE-399;netty;1;netty
CWE-399;httpcomponents-client;3;apache
CWE-264;activemq;1;apache
CWE-918;jenkins;1;jenkinsci
CWE-264;spring-framework;3;spring-projects
CWE-79;uaa;1;cloudfoundry
CWE-255;subversion-plugin;1;jenkinsci
CWE-22;tomcat80;4;apache
CWE-264;tomcat;27;apache
CWE-20;spring-amqp;1;spring-projects
CWE-79;activemq;6;apache
CWE-863;git-plugin;1;jenkinsci
CWE-264;cxf;1;apache
CWE-345;tomcat80;1;apache
CWE-19;camel;25;apache
CWE-502;spark;6;apache
CWE-200;email-ext-plugin;1;jenkinsci
CWE-352;jolokia;1;rhuss
CWE-89;ranger;2;apache
CWE-400;undertow;2;undertow-io
CWE-601;tomcat;1;apache
CWE-20;tomcat55;1;apache
CWE-295;uaa;3;cloudfoundry
CWE-613;keycloak;1;keycloak
CWE-264;tomcat80;3;apache
CWE-384;jetty.project;1;eclipse
CWE-94;hawtjni;1;fusesource
CWE-611;tika;1;apache
CWE-79;javamelody;1;javamelody
CWE-189;tomcat;16;apache
CWE-352;spring-framework;4;spring-projects
CWE-20;cxf-fediz;3;apache
CWE-295;tomcat;1;apache
CWE-20;commons-fileupload;1;apache
CWE-200;atlas;1;apache
CWE-611;umlet;1;umlet
CWE-287;tomcat55;1;apache
CWE-287;hive;2;apache
CWE-863;tomcat;3;apache
CWE-22;struts;2;apache
CWE-611;activemq;1;apache
CWE-611;xmlbeam;1;SvenEwald
CWE-200;syncope;3;apache
CWE-94;struts;16;apache
CWE-20;qpid-broker-j;4;apache
CWE-388;tomcat80;1;apache
CWE-200;httpcomponents-client;1;apache
CWE-361;bc-java;2;bcgit
CWE-284;elasticsearch;3;elastic
CWE-287;infinispan;1;infinispan
CWE-770;guava;1;google
CWE-264;jenkins;3;jenkinsci
CWE-79;cxf;6;apache
CWE-94;spring-security-oauth;4;spring-projects
CWE-200;tomcat55;1;apache
CWE-20;libpam4j;1;letonez
CWE-287;keycloak;1;keycloak
CWE-20;struts;33;apache
CWE-79;tomcat55;1;apache
CWE-295;okhttp;3;square
CWE-863;undertow;2;undertow-io
CWE-502;logback;1;qos-ch
CWE-200;uaa;2;cloudfoundry
CWE-264;cordova-android;1;apache
CWE-611;vertx-web;2;vert-x3
CWE-20;nifi;1;apache
CWE-502;tomee;1;apache
CWE-20;oozie;1;apache
CWE-22;lucene-solr;5;apache
CWE-77;cassandra;1;apache
CWE-399;tapestry-5;1;apache
CWE-287;lucene-solr;5;apache
CWE-22;geronimo;3;apache
CWE-502;bc-java;2;bcgit
CWE-20;cxf;2;apache
CWE-863;geode;7;apache
CWE-362;core;3;weld
CWE-79;monitoring-plugin;1;jenkinsci
CWE-284;pljava;1;tada
CWE-254;spring-framework;2;spring-projects
CWE-79;tomcat;4;apache
CWE-502;pippo;1;pippo-java
CWE-20;httpcomponents-client;2;apache
CWE-668;tomcat80;1;apache
CWE-362;tomcat;1;apache
CWE-22;storm;4;apache
CWE-352;jenkins;3;jenkinsci
CWE-20;async-http-client;1;AsyncHttpClient
CWE-16;spring-framework;3;spring-projects
CWE-269;uaa;14;cloudfoundry
CWE-502;jenkins;3;jenkinsci
CWE-79;struts;4;apache
CWE-287;cxf;4;apache
CWE-200;jetty.project;2;eclipse
CWE-611;spring-framework;2;spring-projects
CWE-352;projectforge-webapp;1;micromata
CWE-863;uaa;5;cloudfoundry
CWE-502;logging-log4j2;1;apache
CWE-79;geronimo;3;apache
CWE-22;retrofit;1;square
CWE-835;tika;3;apache
CWE-79;jolokia;1;rhuss
CWE-119;tomcat55;1;apache
CWE-352;geronimo;3;apache
CWE-532;pipeline-build-step-plugin;1;jenkinsci
CWE-287;spring-security;5;spring-projects
CWE-297;pgjdbc;1;pgjdbc
CWE-284;commons-fileupload;2;apache
CWE-1188;spring-webflow;5;spring-projects
CWE-78;nmap4j;1;narkisr
CWE-1021;nifi;1;apache
CWE-352;spring-social;1;spring-projects
CWE-79;wicket-jquery-ui;12;sebfz1
CWE-863;ownership-plugin;1;jenkinsci
CWE-434;hawtio;1;hawtio
CWE-78;opentsdb;1;OpenTSDB
CWE-352;activemq;1;apache
CWE-22;tomcat;15;apache
CWE-79;spring-framework;3;spring-projects
CWE-89;hive;2;apache
CWE-863;tomcat80;1;apache
CWE-77;jenkins;1;jenkinsci
CWE-78;jenkins;1;jenkinsci
CWE-22;hutool;3;looly
CWE-94;spring-framework;5;spring-projects
CWE-203;bc-java;1;bcgit
CWE-77;struts;1;apache
CWE-79;sling;1;apache
CWE-611;retrofit;1;square
CWE-264;uaa;8;cloudfoundry
CWE-79;syncope;3;apache
CWE-310;jenkins;1;jenkinsci
CWE-22;DependencyCheck;1;jeremylong
CWE-1188;tomcat;1;apache
CWE-264;struts;6;apache
CWE-287;spring-ldap;1;spring-projects
CWE-310;bc-java;4;bcgit
CWE-22;jenkins;5;jenkinsci
CWE-22;wildfly-core;1;wildfly
CWE-254;activemq;2;apache
CWE-611;nifi;1;apache
CWE-264;jboss-seam;1;seam2
CWE-200;Exchange;1;platform
CWE-287;shiro;1;apache
CWE-200;orientdb;1;orientechnologies
CWE-22;spring-framework;15;spring-projects
CWE-22;zt-zip;1;zeroturnaround
CWE-835;commons-compress;2;apache
CWE-399;Openfire;1;igniterealtime
CWE-20;hadoop;2;apache
CWE-611;restlet-framework-java;2;restlet
CWE-352;uaa;4;cloudfoundry
CWE-829;spring-framework;2;spring-projects
CWE-532;ssh-agent-plugin;1;jenkinsci
CWE-200;jboss-seam;1;seam2
CWE-78;ec2-plugin;1;jenkinsci
CWE-502;brooklyn-server;1;apache
CWE-190;jetty.project;1;eclipse
CWE-284;hbase;1;apache
CWE-20;core-1;1;pslegr
CWE-320;bc-java;1;bcgit
CWE-264;camel;6;apache
CWE-269;groovy-sandbox;2;jenkinsci
CWE-611;uima-uimaj;1;apache
CWE-295;thrift;1;apache
CWE-200;tika;1;apache
CWE-203;tomcat;3;apache
CWE-611;onos;2;opennetworkinglab
CWE-345;async-http-client;3;AsyncHttpClient
CWE-502;camel;19;apache
CWE-310;tomcat;1;apache
CWE-190;jBCrypt;1;djmdjm
CWE-200;sonarqube;1;SonarSource
CWE-269;pljava;1;tada
CWE-835;undertow;1;undertow-io
CWE-19;tomcat;2;apache
CWE-611;pmd-plugin;1;jenkinsci
CWE-287;tomcat;1;apache
CWE-352;struts;2;apache
CWE-640;uaa;2;cloudfoundry
CWE-200;xstream;8;x-stream
CWE-295;qpid-proton-j;1;apache
CWE-611;checkstyle-plugin;1;jenkinsci
CWE-611;junit-plugin;1;jenkinsci
CWE-306;cassandra;1;beobal
CWE-345;tomcat;3;apache
CWE-189;tomcat55;3;apache
CWE-203;jetty.project;3;eclipse
CWE-284;cxf-fediz;1;apache
CWE-284;shiro;2;apache
CWE-384;cxf;1;apache
CWE-22;hadoop;13;apache
CWE-91;dom4j;1;dom4j
CWE-521;ldapsdk;1;pingidentity
