https://github.com/spring-projects/spring-integration;gradle classes;no;;
https://github.com/apache/sling-org-apache-sling-xss;mvn compile;OK;JDK 17;
https://github.com/itext/itext7;mvn compile;OK;JDK 17;
https://github.com/droolsjbpm/drools;mvn compile;no;;
https://github.com/dom4j/dom4j;./gradlew classes;no;;
https://github.com/jenkinsci/mercurial-plugin;mvn compile;OK;JDK 17;
https://github.com/jenkinsci/junit-plugin;mvn compile;OK;JDK 17;
https://github.com/jenkinsci/ssh-agent-plugin;mvn compile;OK;JDK 17;
https://github.com/square/retrofit;./gradlew classes;OK;JDK 17 & gradle 5.4.1;
;;;;
;16/87;;;
