"Project fix commit","Parent Commit"
"https://github.com/apache/tomcata9dd96046d7acb0357c6b7b9e6cc70d186fae663","a738d02b5b105902ca5bb6811b35ca76bbbcb01e"
"https://github.com/apache/hadoop12258c7cff8d32710fbd8b9088a930e3ce27432","1c407d327a655576d2d0d12fd408db5ba0e85de8"
"https://github.com/apache/tomcat58b32048ce25cb812ae394dafb0cd57254c68155","3bfe9fb886598c4d8ecbe674216152006bbce456"
"https://github.com/apache/activemq-artemis48d9951d879e0c8cbb59d4b64ab59d53ef88310d","879f4a6bb3b15dfc3d00bcde2d982194bd2dadc4"
"https://github.com/hibernate/hibernate-validator67fdff14831c035c25e098fe14bd86523d17f726","2c95d4ea0ef20977be249e31a4a4f4f4f71c945d"
"https://github.com/apache/spark772a9b969aa179150aa216e9efd950e512e9d0b4","dade85f7fa73678eea676a7211ccc677330d2b65"
"https://github.com/apache/struts931df54ab379bf4eb5a625bf05066b8563c3737b","eb71d8869648fdd6418d10f4fc07ef83f9180792"
"https://github.com/spring-projects/spring-framework3f68cd633f03370d33c2603a6496e81273782601","e1d6826fcd0e7dd2481acdf5a726aef8e83ffd8e"
"https://github.com/apache/tomcatcf0b37beb0622abdf24acc7110daf883f3fe4f95","bbcbb749c75056a2781f37038d63e646fe972104"
"https://github.com/apache/cameld4102512147eca2af21c3b6ed63a67d852f4e66","10f552643d7e4565104d142bbc160db5a30f9f7e"
"https://github.com/apache/struts352306493971e7d5a756d61780d57a76eb1f519a","54dff362f50a60084c9ff01ef59516686d26c9f1"
"https://github.com/apache/tomcat0c5d3a903598abd7c7ebe1b00e27a6574339c417","218ed392eb067067ffda3d38a2a22f5445ffa5e4"
"https://github.com/vert-x3/vertx-web98891b1d9e022b467a3e4674aca4d1889849b1d","e7c4460ee4cc0a3b7135dc01499b1cc2fe269505"
"https://github.com/bcgit/bc-java1127131c89021612c6eefa26dbe5714c194e7495","63c5f15d8a26b66cbff0503e28ac945a6899a85c"
"https://github.com/apache/tomcat1b91e91194a095ea922f96d1dccddf6fbc446e54","fa70000b445c9b819ce3c447c95e8586ee0fba8d"
"https://github.com/jenkinsci/jenkins727d58f690abf64f543407e1de3545eca76ad30e","832144e32297fea7734a44bd2064f6ddd4562874"
"https://github.com/apache/karafcfa213ad680ded70b70bf0c648891a06386ef63","ccd1ec69bf5574a5a0d3dfdb473f1121c4c2ae88"
"https://github.com/cloudfoundry/uaa90b6f8c06afd96efd39f87deaaf9a94cd0fd082","7964980977c0e44eb42d264a6a1e4e9957b50d7c"
"https://github.com/restlet/restlet-framework-javac3015e4783c2a36e7528aa611c911b7d8c4ec5b","75c8cc4558ac701bf012ffa5c112667f64f66ca5"
"https://github.com/apache/lucene-solrd28baa3fc5566b47f1ca7cc2ba1aba658dc634a","b98fec16d58615398cb89baf757742abc35a80ce"
"https://github.com/bcgit/bc-java874bab94a5baf426545948116cabe6f4ae338c20","2aaea207b7d13afe9b27c83922c9015e30cecdbd"
"https://github.com/inversoft/prime-jwtabb0d479389a2509f939452a6767dc424bb5e6ba","8d73248b7e4c8bdeed807a9be89ea51d348764e0"
"https://github.com/jenkinsci/mercurial-plugin54b4f82e80c89d51b12bc64258f6b59e98b0c16a","f6e5f0bff2d8678c0e7cb13d0db031b45c7a0437"
"https://github.com/apache/camel881e5099f94316d4a66ffbff0a3e6915829d49d","a2209dcab150df767141568731a477386d5eacdc"
"https://github.com/x-stream/xstream696ec886a23dae880cf12e34e1fe09c5df8fe94","e4f1457e681e015be83c6b0b84947676980e29d3"
"https://github.com/apache/activemq2895197d0dad246757d8d1d9eea181cbf0543ae9","140f8e0322f3712df4a441a38595039ba2588f63"
"https://github.com/apache/struts8e67b9144aa643769b261e2492cb561e04d016ab","77017cd677c209324a9253f005246eba606d80d4"
"https://github.com/spring-projects/spring-securityc70b65c5df0e170a2d34d812b83db0b7bc71ea25","a32d19ec7dfcd9dd2b51e37f1adc3d8f1bf23490"
"https://github.com/jenkinsci/git-plugina3d3a7eb7f75bfe97a0291e3b6d074aafafa86c9","2656c35f36974fc2cf1e64343d3764c4cb57432b"
"https://github.com/spring-projects/spring-frameworkdc5b5ca8ee09c890352f89b2dae58bc0132d6545","6e54fc960a6d0241f2520f7296312a0db1edd5c7"
"https://github.com/jenkinsci/ownership-plugin42487df17cd272e504d3cd3e09abb4904f80dba2","5e83dc828899332f6e2d076ee554ffccea6e5f12"
"https://github.com/apache/camel5ea0a6f6c6a54f1cddf9691a99b0c237afc95348","0afcf721ff209eb10a24c5e4b48ca9d6727ea99a"
"https://github.com/apache/activemqe7a4b53f799685e337972dd36ba0253c04bcc01","d5f6b0297e87a3080438f500e4314603e9ec94e4"
"https://github.com/apache/activemq729c4731574ffffaf58ebefdbaeb3bd19ed1c7b7","9fd5cb7dfe0fcc431f99d5e14206e0090e72f36b"
"https://github.com/apache/tikaa09d853dbed712f644e274b497cce254f3189d57","525889a4f928d1d448c6aaf6b1ddc19081e07404"
"https://github.com/apache/camelc703479f5880a099c38f2fd5e63c7d9f0567e5ff","d853853469292cd54fd9662c3605030ab5a9566b"
"https://github.com/apache/tomcatc08641da04d31f730b56b8675301e55db97dfe88","e4619a896b1bf5810a2b6d19a1ac7eca4df6ed11"
"https://github.com/apache/tika62926cae31a02d4f23d21148435804b96c543cc","ac736936126b77fe9479b8ea78e799899545cf86"
"https://github.com/apache/ignitebc374f85ca4a5e69572902d2167fe6bedebd40a","b4b965bbd9caddee8f28c64689957f32d181eadf"
"https://github.com/spring-projects/spring-security-oauth8e9792c1963f1aeea81ca618785eb8d71d1cd1d","3cae8a2ba6366dc3c10582dd5a171b79de131a9f"
"https://github.com/apache/tomcat76ebc9007567c8326217dd94844540e1e27d8468","0a6502c6b1d889fd69aa389eedb34215f593e58e"
"https://github.com/restlet/restlet-framework-javab85c2ef182c69c5e2e21df008ccb249ccf80c7b","b6399ff5b977b332e29e27c5e99060b3208c8390"
"https://github.com/weld/core8e413202fa1af08c09c580f444e4fd16874f9c65","6808b11cd6d97c71a2eed754ed4f955acd789086"
"https://github.com/apache/activemq51eb87a84be88d28383ea48f6e341ffe1203c5ba","65af81e09ecbb38e43b1410b2e1bd9c02926fc88"
"https://github.com/apache/camel4f401c09d22c45c94fa97746dc31905e06b19e3","9ccd72669f3eec4cb1e8102c95573bee8bfe052b"
"https://github.com/hibernate/hibernate-validator0886e89900d343ea20fde5137c9a3086e6da9ac","2b895289915d6646cad1ade1d594d576f2ef0593"
"https://github.com/cloudfoundry/uaa703542183b14b3ef1e04d68d83484d9eaaeb2f0","9a309ee25f364607e15cf738a29a68417c635e7b"
"https://github.com/cloudfoundry/uaa6ed7dc22beafeaa054713e63125044332729baa","fbe83c071067301cd461f4aad848afdfe40f89da"
"https://github.com/apache/cxfdb11c9115f31e171de4622149f157d8283f6c720","d479c1b40f1f5d39d018cf808ebbdf7331c8f816"
"https://github.com/apache/tomcat79e8ad03404c131009811855f9a30d8d01c0c736","07cb67a1a6f157f9ceade9c53b774ca2c80c9c33"
"https://github.com/apache/nifie62aa0252dfcf34dff0c3a9c51265b1d0f9dfc9f","9742dd2fac42d4afb8b1e009535ed50c02373493"
"https://github.com/cloudfoundry/uaa7d750e036cd52c5d30e73e28cbcae23126d7154","25fa3f1fd33759fef9c7d18768c5f63009e6b406"
"https://github.com/tada/pljavaf0a41359ede67335c5ef3fe73a9f10da96d71760","ad4e051a548a1874e2a469a6078ef7dbb18828ec"
"https://github.com/apache/tomcat2e69497fa7b1444632c6dadb64a4a82e18478ee6","787a164ddf0b3b69ffde2d6fcc526eb59a2a0a96"
"https://github.com/apache/lucene-solr6d082d5743dee7e08a86b3f2ef03bc025112512","ec50b224dfed558b18b5ed39e44ef6d504c66442"
"https://github.com/spring-projects/spring-framework9cef8e3001ddd61c734281a7556efd84b6cc2755","a831ed524fbc34f4a8a976b1158d5abd1042a006"
"https://github.com/spring-projects/spring-frameworkd3acf45ea4db51fa5c4cbd0bc0e7b6d9ef805e6","573f1d77f285ba34253d98a9ed056e0bb4bba219"
"https://github.com/apache/commons-compress654222e628097763ee6ca561ae77be5c06666173","6ced422bf5eca3aac05396367bafb33ec21bf74e"
"https://github.com/cloudfoundry/uaa14350228989e2aee900b8d48a848293bb5152b6f","66132926f1bac0b878da5841be2f93fa5075d88f"
"https://github.com/apache/struts4a3917176de2df7f33a85511d067f31e50dcc1b","a746fc872acbe8d14057c56bcffda468be94a87e"
"https://github.com/apache/commons-fileuploadc61ff05b3241cb14d989b67209e57aa71540417a","401ba23732e9ae96c3e4797eb624d357cb9ae2d0"
"https://github.com/apache/tomcat80c15c2aba8eb42425f9ebcfcaef579dada38ad3a2","f7695d1604eb241041663ed6d8dfe70de0809485"
"https://github.com/rhuss/jolokiafd7b93da30c61a45bac10d8b311f1b79a74910f","d4caa14cbc90ae7b408d02d269d05299c3368478"
"https://github.com/cloudfoundry/uaab3834364ab573e9655348193780a56a602fe87b7","14350228989e2aee900b8d48a848293bb5152b6f"
"https://github.com/umlet/umlete1c4cc6ae692cc8d1c367460dbf79343e996f9bd","66984741d0ca00d8c94d5329c9344157b51bc380"
"https://github.com/apache/tomcatbed3a1a0d06a3c787183c6e90f326bbe17e49dd4","c51c7a14ab1f5f29bbf6a6b7b56bfb406d293675"
"https://github.com/apache/hbase942e09b71eef5bd9fdb1c8711125c4bc1193bcdc","19a57f1e7e57b83e17e0ef91e35b02dfd5af2893"
"https://github.com/apache/camelec3d0db81ba061b27e934d5ff56e9baca0049eb","87c92b7b38890c217bc76f2c55036e6a5cca9a07"
"https://github.com/spring-projects/spring-frameworka7dc48534ea501525f11369d369178a60c2f47d0","bd282e632f06e77f2c526ded12a83072cf659794"
"https://github.com/apache/cxf45b1b5b94aaebca6900cfff6c62a5d038e9ad28b","c212240f696e3387df19bbcf22d1851aff320078"
"https://github.com/apache/commons-compress0600296ab8f8a0bbdfedd483f51b38005eb8e34e","fdd7459bc5470e90024dbe762249166481cce769"
